1 2.17415  -47.3181
101 2.0178  -47.9315
201 1.8699  -48.1979
301 1.79727  -48.3887
401 1.74494  -48.468
501 1.76578  -48.5595
601 1.74726  -48.5359
701 1.73912  -48.5935
801 1.75593  -48.6638
901 1.75306  -48.7285
1001 1.75405  -48.82
1101 1.75881  -48.9333
1201 1.74628  -48.9603
1301 1.74461  -48.9768
1401 1.7826  -48.9995
1501 1.77258  -48.9843
1601 1.77194  -49.0812
1701 1.77363  -49.0886
1801 1.77622  -49.0706
1901 1.78162  -49.0622
2001 1.76553  -49.0773
2101 1.75786  -49.1022
2201 1.79767  -49.1153
2301 1.75238  -49.1033
2401 1.76479  -49.1032
2501 1.76627  -49.0916
2601 1.76029  -49.0837
2701 1.76701  -49.0872
2801 1.81143  -49.1188
2901 1.78426  -49.1177
3001 1.77149  -49.1248
3101 1.77249  -49.1446
3201 1.77062  -49.14
3301 1.77714  -49.1508
3401 1.77015  -49.2006
3501 1.79276  -49.2615
3601 1.79493  -49.2297
3701 1.76181  -49.2175
3801 1.76912  -49.2242
3901 1.75349  -49.2104
4001 1.76326  -49.1953
4101 1.78437  -49.1774
4201 1.78929  -49.2137
4301 1.80879  -49.2066
4401 1.7912  -49.1993
4501 1.79872  -49.2059
4601 1.80113  -49.2233
4701 1.78564  -49.1846
4801 1.80115  -49.197
4901 1.78208  -49.1848
5001 1.78158  -49.2062
5101 1.77561  -49.2081
5201 1.77039  -49.1927
5301 1.74105  -49.211
5401 1.75351  -49.2223
5501 1.77168  -49.2026
5601 1.78236  -49.1897
5701 1.75529  -49.2306
5801 1.77211  -49.2466
5901 1.81156  -49.2616
6001 1.80523  -49.2818
6101 1.78763  -49.2167
6201 1.76762  -49.236
6301 1.79529  -49.2529
6401 1.80602  -49.2299
6501 1.79908  -49.2164
6601 1.80377  -49.2301
6701 1.82796  -49.2324
6801 1.83411  -49.2555
6901 1.8161  -49.2284
7001 1.82783  -49.2502
7101 1.8071  -49.2485
7201 1.80668  -49.2549
7301 1.80716  -49.2619
7401 1.81495  -49.2636
7501 1.79316  -49.287
7601 1.79674  -49.2801
7701 1.78558  -49.2459
7801 1.79596  -49.2533
7901 1.75665  -49.2332
8001 1.77578  -49.2369
8101 1.79658  -49.2327
8201 1.79818  -49.231
8301 1.81146  -49.2565
8401 1.77932  -49.2404
8501 1.78885  -49.2779
8601 1.77801  -49.2561
8701 1.79341  -49.2581
8801 1.80954  -49.2328
8901 1.81424  -49.2181
9001 1.81482  -49.2076
9101 1.80554  -49.1883
9201 1.79045  -49.1879
9301 1.77702  -49.1786
9401 1.80047  -49.184
9501 1.78668  -49.1782
9601 1.80559  -49.2128
9701 1.80649  -49.2097
9801 1.79492  -49.2076
9901 1.77769  -49.1733
10001 1.78041  -49.1539
10101 1.77885  -49.1485
10201 1.80099  -49.1549
10301 1.81109  -49.2148
10401 1.78367  -49.2113
10501 1.77914  -49.194
10601 1.78323  -49.197
10701 1.81503  -49.2393
10801 1.80651  -49.2432
10901 1.82646  -49.2594
11001 1.83701  -49.2579
11101 1.81407  -49.2819
11201 1.8139  -49.2738
11301 1.81859  -49.281
11401 1.83341  -49.2902
11501 1.81701  -49.2909
11601 1.82181  -49.3072
11701 1.80218  -49.2832
11801 1.77424  -49.2939
11901 1.77715  -49.2925
12001 1.77316  -49.2726
12101 1.79541  -49.2888
12201 1.79932  -49.2783
12301 1.79197  -49.2888
12401 1.80905  -49.2367
12501 1.78594  -49.2273
12601 1.77329  -49.1973
12701 1.78732  -49.1787
12801 1.79802  -49.1935
12901 1.77737  -49.154
13001 1.77565  -49.1622
13101 1.78333  -49.208
13201 1.82298  -49.227
13301 1.81341  -49.2335
13401 1.81052  -49.2796
13501 1.78602  -49.3242
13601 1.79097  -49.3399
13701 1.77927  -49.3225
13801 1.81094  -49.3717
13901 1.78834  -49.3539
14001 1.76585  -49.3306
14101 1.76441  -49.3226
14201 1.77782  -49.3237
14301 1.77549  -49.3265
14401 1.80743  -49.2811
14501 1.77819  -49.2959
14601 1.75815  -49.2667
14701 1.80569  -49.2324
14801 1.80981  -49.293
14901 1.80481  -49.2676
15001 1.80551  -49.2791
15101 1.82925  -49.2914
15201 1.79495  -49.3088
15301 1.77999  -49.3371
15401 1.76026  -49.2837
15501 1.76306  -49.2908
15601 1.78306  -49.2783
15701 1.78976  -49.2736
15801 1.77887  -49.2801
15901 1.78483  -49.3159
16001 1.78788  -49.338
16101 1.78412  -49.3047
16201 1.80507  -49.2872
16301 1.79907  -49.3135
16401 1.78959  -49.3607
16501 1.79272  -49.4155
